sutta_uid,language,abstract,url
dn1,de,German translation of DN 1 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d01.htm
dn2,en,English translation of DN 2 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.02.0.than.html
dn2,en,English translation of DN 2 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/02-samannaphala-e.html
dn2,fr,French translation of DN 2 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/digha/dn02.html
dn2,de,German translation of DN 2 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d02.htm
dn3,en,English translation of DN 3 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/03-ambattha-e.html
dn3,de,German translation of DN 3 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d03.htm
dn4,en,English translation of DN 4 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/04-sonadanda-e.html
dn4,de,German translation of DN 4 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d04.htm
dn5,en,English translation of DN 5 from BPS. Translator T W Rhys Davids. With introduction and notes.,http://www.bps.lk/olib/wh/wh120-u.html
dn5,en,English translation of DN 5 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/05-kutadanta-e.html
dn5,de,German translation of DN 5 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d05.htm
dn6,en,English translation of DN 6 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/06-mahali-e.html
dn6,de,German translation of DN 6 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d06.htm
dn7,en,English translation of DN 7 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/07-jaliya-e.html
dn7,de,German translation of DN 7 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d07.htm
dn8,en,English translation of DN 8 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/08-kassapasihanada-e.html
dn8,de,German translation of DN 8 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d08.htm
dn9,en,English translation of DN 9 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.09.0.than.html
dn9,en,English translation of DN 9 from leighb.com. Translator Leigh Brasington.,http://www.leighb.com/dn9.htm
dn9,en,English translation of DN 9 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/09-potthapada-e.html
dn9,de,German translation of DN 9 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d09.htm
dn10,en,English translation of DN 10 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/10-subha-e.html
dn10,de,German translation of DN 10 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d10.htm
dn11,en,English translation of DN 11 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.11.0.than.html
dn11,en,English translation of DN 11 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/11-kevaddha-e.html
dn11,fr,French translation of DN 11 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/digha/dn11.html
dn11,de,German translation of DN 11 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d11.htm
dn12,en,English translation of DN 12 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.12.0.than.html
