sutta_uid,name,text
avs40,Vaidya 1958a / Speyer 1970ab,"VAIDYA, P. L. 1958a. Avadāna-śataka (Buddhist Sanskrit Texts No. 19). Darbhanga: Mithila Institute. / SPEYER, J. S. 1970ab (1906). Avadānaśataka: A Century of Edifying Tales Belonging to the Hīnayāna, vols 1 & 2 (Bibliotheca Buddhica III). Osnabrück: Biblio Verlag."
avs90,Vaidya 1958a / Speyer 1970ab,"VAIDYA, P. L. 1958a. Avadāna-śataka (Buddhist Sanskrit Texts No. 19). Darbhanga: Mithila Institute. / SPEYER, J. S. 1970ab (1906). Avadānaśataka: A Century of Edifying Tales Belonging to the Hīnayāna, vols 1 & 2 (Bibliotheca Buddhica III). Osnabrück: Biblio Verlag."
avs99,Vaidya 1958a / Speyer 1970ab,"VAIDYA, P. L. 1958a. Avadāna-śataka (Buddhist Sanskrit Texts No. 19). Darbhanga: Mithila Institute. / SPEYER, J. S. 1970ab (1906). Avadānaśataka: A Century of Edifying Tales Belonging to the Hīnayāna, vols 1 & 2 (Bibliotheca Buddhica III). Osnabrück: Biblio Verlag."
avs100,Vaidya 1958a / Speyer 1970ab,"VAIDYA, P. L. 1958a. Avadāna-śataka (Buddhist Sanskrit Texts No. 19). Darbhanga: Mithila Institute. / SPEYER, J. S. 1970ab (1906). Avadānaśataka: A Century of Edifying Tales Belonging to the Hīnayāna, vols 1 & 2 (Bibliotheca Buddhica III). Osnabrück: Biblio Verlag."
divy2,Vaidya 1999 / Cowell 1886,"VAIDYA, P. L. 1999. Divyāvadāna (Buddhist Sanskrit Texts No.20). Darbhanga: Mithila Institute. / COWELL, E. B. et al. 1886. The Divyāvadāna, a Collection of Early Buddhist Legends. Cambridge: Cambridge University Press."
divy26,Vaidya 1999 / Cowell 1886,"VAIDYA, P. L. 1999. Divyāvadāna (Buddhist Sanskrit Texts No.20). Darbhanga: Mithila Institute. / COWELL, E. B. et al. 1886. The Divyāvadāna, a Collection of Early Buddhist Legends. Cambridge: Cambridge University Press."
divy27,Vaidya 1999 / Cowell 1886,"VAIDYA, P. L. 1999. Divyāvadāna (Buddhist Sanskrit Texts No.20). Darbhanga: Mithila Institute. / COWELL, E. B. et al. 1886. The Divyāvadāna, a Collection of Early Buddhist Legends. Cambridge: Cambridge University Press."
lal16,Vaidya 1958b / Lefmann 1902,"VAIDYA, P. L. 1958b. Lalita-vistaraḥ (Buddhist Sanskrit Texts No. 1). Darbhanga: Mithila Institute. / LEFMANN, S. 1902. Lalita Vistara: Leben und Lehre des Çakya-Buddha, Textausgabe mit Varianten-, Metren- und Wörterverzeichnis. Halle: Verlag der Buchhandlung des Waisenhauses."
lal17a,Vaidya 1958b / Lefmann 1902,"VAIDYA, P. L. 1958b. Lalita-vistaraḥ (Buddhist Sanskrit Texts No. 1). Darbhanga: Mithila Institute. / LEFMANN, S. 1902. Lalita Vistara: Leben und Lehre des Çakya-Buddha, Textausgabe mit Varianten-, Metren- und Wörterverzeichnis. Halle: Verlag der Buchhandlung des Waisenhauses."
lal21,Vaidya 1958b / Mitra 1877,"VAIDYA, P. L. 1958b. Lalita-vistaraḥ (Buddhist Sanskrit Texts No. 1). Darbhanga: Mithila Institute. / MITRA, Raj. (ed & trl) 1877. The Lalita Vistara or Memoirs of the Early Life of Śākya Siñha. (= Biliotheca Indica vol. 15). Calcutta: C. B. Lewis."
lal26,Vaidya 1958b / Lefmann 1902,"VAIDYA, P. L. 1958b. Lalita-vistaraḥ (Buddhist Sanskrit Texts No. 1). Darbhanga: Mithila Institute. / LEFMANN, S. 1902. Lalita Vistara: Leben und Lehre des Çakya-Buddha, Textausgabe mit Varianten-, Metren- und Wörterverzeichnis. Halle: Verlag der Buchhandlung des Waisenhauses."
mvu10,Basak 1963,"BASAK, Radhagovinda 1963. Mahāvastu Avadāna, vol. 1 (Calcutta Sanskrit College Research Series). Calcutta: Sanskrit College. / SENART, Emile 1882. Le Mahāvastu (vol 1): Texte sanscrit publié pour la première fois et accompagné d’introductions et d’un commentaire (Société Asiatique, Collection d’Ouvrages Orientaux, Seconde série. Paris: Imprimerie Nationale."
