sutta_uid,language,abstract,url
dn1,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn1/pi
dn1,en,Translated by Bhikkhu Bodhi,/dn1/en
dn1,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn1/vn
dn1,de,German translation of DN 1 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d01.htm
dn2,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn2/pi
dn2,en,Translated by Bhikkhu Bodhi,/dn2/en
dn2,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn2/vn
dn2,en,English translation of DN 2 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.02.0.than.html
dn2,en,English translation of DN 2 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/02-samannaphala-e.html
dn2,fr,French translation of DN 2 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/digha/dn02.html
dn2,de,German translation of DN 2 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d02.htm
dn3,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn3/pi
dn3,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn3/vn
dn3,en,English translation of DN 3 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/03-ambattha-e.html
dn3,de,German translation of DN 3 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d03.htm
dn4,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn4/pi
dn4,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn4/vn
dn4,en,English translation of DN 4 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/04-sonadanda-e.html
dn4,de,German translation of DN 4 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d04.htm
dn5,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn5/pi
dn5,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn5/vn
dn5,en,English translation of DN 5 from BPS. Translator T W Rhys Davids. With introduction and notes.,http://www.bps.lk/olib/wh/wh120-u.html
dn5,en,English translation of DN 5 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/05-kutadanta-e.html
dn5,de,German translation of DN 5 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d05.htm
dn6,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn6/pi
dn6,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn6/vn
dn6,en,English translation of DN 6 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/06-mahali-e.html
dn6,de,German translation of DN 6 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d06.htm
dn7,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn7/pi
dn7,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn7/vn
