uid,name,acronym,vagga_ind
dn-nosub,,,False
mn-nosub,,,False
sn1,Devatā Saṃyutta,1,False
sn2,Devaputta Saṃyutta,2,False
sn3,Kosala Saṃyutta,3,False
sn4,Māra Saṃyutta,4,False
sn5,Bhikkhuṇī Saṃyutta,5,False
sn6,Brahmā Saṃyutta,6,False
sn7,Brāhmaṇa Saṃyutta,7,False
sn8,Vangīsa Thera Saṃyutta,8,False
sn9,Vana Saṃyutta,9,False
sn10,Yakkha Saṃyutta,10,False
sn11,Sakka Saṃyutta,11,False
sn12,Nidāna Saṃyutta,12,False
sn13,Abhisamaya Saṃyutta,13,False
sn14,Dhātu Saṃyutta,14,False
sn15,Anamatagga Saṃyutta,15,False
sn16,Kassapa Saṃyutta,16,False
sn17,Lābhasakkāra Saṃyutta,17,False
sn18,Rāhula Saṃyutta,18,False
sn19,Lakkhaṇa Saṃyutta,19,False
sn20,Opamma Saṃyutta,20,False
sn21,Bhikkhu Saṃyutta,21,False
sn22,Khandha Saṃyutta,22,False
sn23,Rādha Saṃyutta,23,False
sn24,Diṭṭhi Saṃyutta,24,False
sn25,Okkantika Saṃyutta,25,False
sn26,Uppāda Saṃyutta,26,False
sn27,Kilesa Saṃyutta,27,False
sn28,Sāriputta Saṃyutta,28,False
sn29,Nāga Saṃyutta,29,False
sn30,Supaṇṇa Saṃyutta,30,False
sn31,Gandhabbakāya Saṃyutta,31,False
sn32,Valāhaka Saṃyutta,32,False
sn33,Vacchagotta Saṃyutta,33,False
sn34,Samādhi Saṃyutta,34,False
sn35,Saḷāyatana Saṃyutta,35,False
sn36,Vedanā Saṃyutta,36,False
sn37,Mātugāma Saṃyutta,37,False
sn38,Jambukhādaka Saṃyutta,38,False
sn39,Sāmaṇḍaka Saṃyutta,39,False
sn40,Moggallāna Saṃyutta,40,False
sn41,Citta Saṃyutta,41,False
sn42,Gāmani Saṃyutta,42,False
sn43,Asaṅkhata Saṃyutta,43,False
sn44,Avyākata Saṃyutta,44,False
sn45,Magga Saṃyutta,45,False
sn46,Bojjhaṅga Saṃyutta,46,False
sn47,Satipaṭṭhāna Saṃyutta,47,False
sn48,Indriya Saṃyutta,48,False
sn49,Sammappadhāna Saṃyutta,49,False
sn50,Bala Saṃyutta,50,False
sn51,Iddhipāda Saṃyutta,51,False
sn52,Anuruddha Saṃyutta,52,False
sn53,Jhāna Saṃyutta,53,False
sn54,Ānāpāna Saṃyutta,54,False
sn55,Sotāpatti Saṃyutta,55,False
sn56,Sacca Saṃyutta,56,False
an1,Ekaka Nipāta,1,True
an2,Duka Nipāta,2,True
an3,Tika Nipāta,3,False
an4,Catukka Nipāta,4,False
an5,Pañcaka Nipāta,5,False
an6,Chakka Nipāta,6,False
an7,Sattaka Nipāta,7,False
an8,Aṭṭhaka Nipāta,8,False
an9,Navaka Nipāta,9,False
an10,Dasaka Nipāta,10,False
an11,Ekādasaka Nipāta,11,False
kp,Khuddakapāṭha,Kp,False
dp,Dhammapada,Dp ,False
ud,Udāna,Ud ,False
it,Itivuttaka,It ,False
sp,Sutta Nipāta,Sp ,False
vv,Vimānavatthu (no data online),Vv ,False
pv,Petavatthu (no data online),Pv ,False
thag,Theragāthā (no data online),Th ,False
thig,Therīgāthā (no data online),Thii ,False
jat,Jātaka (no data online),Ja ,False
nm,Niddesa (no data online),Nidd ,False
ps,Paṭisambhidāmagga,Patis ,False
ap,Apadāna (no data online),Ap ,False
bv,Buddhavaṃsa (no data online),Bv ,False
cp,Cariyāpiṭaka (no data online),Cp ,False
mv-nosub,,,False
cv-nosub,,,False
prv-nosub,,,False
svbh-nosub,,,False
dhs-nosub,,,False
vbh-nosub,,,False
dhatuk-nosub,,,False
pp-nosub,,,False
kv-nosub,,,False
yam-nosub,,,False
patth-nosub,,,False
da-nosub,,,False
t2-25,Other Dīrgha Sūtras,2−25,False
ma-nosub,,,False
t27-98,Other Madhyama Sūtras,27−98,False
sa1-100,Saṃyuktāgama 1−100,1−100,False
sa101-200,Saṃyuktāgama 101−200,101−200,False
sa201-300,Saṃyuktāgama 201−300,201−300,False
sa301-400,Saṃyuktāgama 301−400,301−400,False
sa401-500,Saṃyuktāgama 401−500,401−500,False
sa501-600,Saṃyuktāgama 501−600,501−600,False
sa601-700,Saṃyuktāgama 601−700,601−700,False
sa701-800,Saṃyuktāgama 701−800,701−800,False
sa801-900,Saṃyuktāgama 801−900,801−900,False
sa901-1000,Saṃyuktāgama 901−1000,901−1000,False
sa1001-1100,Saṃyuktāgama 1001−1100,1001−1100,False
sa1101-1200,Saṃyuktāgama 1101−1200,1101−1200,False
sa1201-1300,Saṃyuktāgama 1201−1300,1201−1300,False
sa1301-1362,Saṃyuktāgama 1301−1362,1301−1362,False
sa2-nosub,,1−120,False
sa3-nosub,,,False
t102-124,Other Saṃyukta Sūtras,102−124,False
ea1,Ekottarikāgama 1,1,False
ea2,Ekottarikāgama 2,2,False
ea3,Ekottarikāgama 3,3,False
ea4,Ekottarikāgama 4,4,False
ea5,Ekottarikāgama 5,5,False
ea6,Ekottarikāgama 6,6,False
ea7,Ekottarikāgama 7,7,False
ea8,Ekottarikāgama 8,8,False
ea9,Ekottarikāgama 9,9,False
ea10,Ekottarikāgama 10,10,False
ea11,Ekottarikāgama 11,11,False
ea12,Ekottarikāgama 12,12,False
ea13,Ekottarikāgama 13,13,False
ea14,Ekottarikāgama 14,14,False
ea15,Ekottarikāgama 15,15,False
ea16,Ekottarikāgama 16,16,False
ea17,Ekottarikāgama 17,17,False
ea18,Ekottarikāgama 18,18,False
ea19,Ekottarikāgama 19,19,False
ea20,Ekottarikāgama 20,20,False
ea21,Ekottarikāgama 21,21,False
ea22,Ekottarikāgama 22,22,False
ea23,Ekottarikāgama 23,23,False
ea24,Ekottarikāgama 24,24,False
ea25,Ekottarikāgama 25,25,False
ea26,Ekottarikāgama 26,26,False
ea27,Ekottarikāgama 27,27,False
ea28,Ekottarikāgama 28,28,False
ea29,Ekottarikāgama 29,29,False
ea30,Ekottarikāgama 30,30,False
ea31,Ekottarikāgama 31,31,False
ea32,Ekottarikāgama 32,32,False
ea33,Ekottarikāgama 33,33,False
ea34,Ekottarikāgama 34,34,False
ea35,Ekottarikāgama 35,35,False
ea36,Ekottarikāgama 36,36,False
ea37,Ekottarikāgama 37,37,False
ea38,Ekottarikāgama 38,38,False
ea39,Ekottarikāgama 39,39,False
ea40,Ekottarikāgama 40,40,False
ea41,Ekottarikāgama 41,41,False
ea42,Ekottarikāgama 42,42,False
ea43,Ekottarikāgama 43,43,False
ea44,Ekottarikāgama 44,44,False
ea45,Ekottarikāgama 45,45,False
ea46,Ekottarikāgama 46,46,False
ea47,Ekottarikāgama 47,47,False
ea48,Ekottarikāgama 48,48,False
ea49,Ekottarikāgama 49,49,False
ea50,Ekottarikāgama 50,50,False
ea51,Ekottarikāgama 51,51,False
ea52,Ekottarikāgama 52,52,False
t126-149,Other Ekottarika Sūtras,"126−149, 150B, 151",False
t150A,,,False
t150B,,,False
dq-nosub,,,False
up-nosub,,,False
tib-nosub,,,False
arv-nosub,,,False
avs-nosub,,,False
divy-nosub,,,False
lal-nosub,,,False
mvu-nosub,,,False
sbv-nosub,,,False
sht1,"SHT i – ed. W. Clawiter, L. Holzmann, E. Waldschmidt 1965",i,False
sht2,"SHT ii – ed. W. Clawiter, L. Holzmann, E. Waldschmidt 1968",ii,False
sht3,"SHT iii – ed. W. Clawiter, L. Holzmann, E. Waldschmidt 1971",iii,False
sht4,"SHT iv – ed. L. Sander, E. Waldschmidt 1980",iv,False
sht5,"SHT v – ed. L. Sander, E. Waldschmidt 1985",v,False
sht6,"SHT vi – ed. H. Bechert, K. Wille 1989",vi,False
sht7,"SHT vii – ed. H. Bechert, K. Wille 1995",vii,False
sht8,"SHT viii – ed. H. Bechert, K. Wille 2000",viii,False
sht9,"SHT ix – ed. H. Bechert, K. Wille 2004",ix,False
sht10,SHT x – ed. K. Wille 2008,x,False
sfg-nosub,,,False
pfg-nosub,,,False
gfg-nosub,,,False
kfg-nosub,,,False
ufg-nosub,,,False
uv-nosub,,,False
